"poor_or_fair_health","poor_physical_health_days","poor_mental_health_days","hiv_prevalence","frequent_mental_distress","premature_death","mental_health_providers","GEOID"
0.256,5.39087993152428,6.52883296247047,218.6,0.214,11967.2455304847,0.00106631461358789,"05057"
0.24,5.44158317868194,6.1981566373196,235.5,0.208,12718.19758446,0.00217207674671172,"05059"
0.235,5.25900043049128,6.10364114778116,194,0.205,12555.0336120797,0.0013387935107891,"05061"
0.256,5.27882533354433,6.620542668766,161.5,0.225,11068.1447233524,0.00169657768470164,"05063"
0.229,5.5851483619893,6.42140467021617,137.6,0.22,11978.4831496357,0.00086262669829631,"05065"
0.275,5.68777193106284,6.5999666954875,266.4,0.232,14435.4667660627,0.00095175777764558,"05067"
0.276,5.22002642953165,6.43086139455713,491.4,0.223,15931.253521733,0.00233825784606975,"05069"
0.286,6.0235924563504,6.55891107756332,64.9,0.228,11849.0310722036,0.00282453085703231,"05071"
0.313,5.85785596409923,6.56393455564569,131.5,0.235,14359.5010330139,0.00064903456109037,"05073"
0.265,5.76968334547674,6.90445570766597,109.6,0.235,14246.2086548741,0.00214829364105082,"05075"
0.321,5.8417219012491,6.49097211795754,522.4,0.223,18151.8515097642,0.00034806822137138,"05077"
0.279,5.39890598852196,6.08029315269903,373.5,0.212,11302.502174868,0.0015340952673161,"05079"
0.229,5.17631118329265,6.19598391683228,210,0.211,12484.081963473,8.37240455458808e-05,"05081"
0.235,5.37916572302253,6.53690590495523,49.7,0.221,13583.0535561634,0.0001885458402074,"05083"
0.197,4.8914007141153,5.76004059841509,107.4,0.204,9866.92892512959,0.00081635930515778,"05085"
0.253,5.58071350189134,6.41041753107325,116.5,0.224,10725.4095354535,0.00129716981132075,"05087"
0.225,5.4314460039006,6.38861967857861,106.2,0.214,11364.8328408333,0.00011779950524207,"05089"
0.269,5.47033983317704,6.27345709036495,400.4,0.227,13871.7349036935,0.00267298178151891,"05091"
0.29,5.73549376681167,6.73990362721516,283.3,0.232,18347.5274718951,0.001336325357404,"05093"
0.287,5.82023603417712,6.74076310044982,346.3,0.225,18678.5594769777,0.00014963339817447,"05095"
0.235,5.54914908713302,6.48762323788364,NA,0.218,13842.2954370311,0.00023226106143305,"05097"
0.271,5.71347272892351,6.48633049820099,144.1,0.224,13041.5877989343,0.00085501404665933,"05099"
0.243,5.31126485007832,6.57253474239193,97.3,0.228,11535.9738790795,0.0004164353137146,"05101"
0.254,5.46850829195976,6.71603144476786,283.3,0.213,14753.4904607939,0.00170357751277683,"05103"
0.218,5.25342034684362,6.66068683812855,116.6,0.214,10348.6562428918,NA,"05105"
0.333,6.06264117146214,6.79882187859682,318.5,0.24,20040.5517599744,0.00069156293222683,"05107"
0.232,5.3342740107663,6.38029685842288,81,0.216,13905.1720659416,0.00039737730975561,"05109"
0.296,5.90853715318566,7.01177494838747,101.7,0.241,16532.3683194293,0.00264783759929391,"05111"
0.234,5.30014334695167,6.57355501287593,73.2,0.222,13274.8016777062,0.00093008835839404,"05113"
0.23,5.257525604663,6.36601401212267,118.9,0.208,9343.22727466052,0.00227311918982897,"05115"
0.26,5.26526691855235,6.23062868628629,188.8,0.228,12114.5334645049,0.0002458512599877,"05117"
0.202,4.67000114936641,6.37542308410359,579.6,0.193,12282.6756571027,0.00497459912875389,"05119"
0.26,5.77242704024567,6.73935256597164,115.6,0.225,13413.5111806132,0.0009541478929234,"05121"
0.335,5.97143632689014,6.5468891301849,536.1,0.23,15430.3824520929,0.0037820484629931,"05123"
0.172,4.3856713039085,5.7761068712762,135,0.193,9601.67629307774,0.0014692612969425,"05125"
0.246,5.40630297980531,6.36085236242036,60.7,0.217,18530.934916387,0.00020362451639177,"05127"
0.276,5.82403082624244,6.88874320189051,NA,0.232,10893.5565001043,0.00190355329949239,"05129"
0.247,5.32298353986124,6.62733419609049,186.8,0.21,11658.7648516396,0.00372274143302181,"05131"
0.273,5.69625583505517,6.26601472805512,158.8,0.21,11822.3743457551,0.0005702337958563,"05133"
0.256,5.53488861277336,6.55697728540661,85.3,0.232,12343.4344855161,0.00215639541482238,"05135"
0.261,5.90096558577585,6.65712825412088,92.1,0.236,10970.6906454993,0.00120182677670058,"05137"
0.224,5.04689852048878,6.31058355319117,298.6,0.2,15151.7919180758,0.00179968701095462,"05139"
0.27,5.84313497066172,6.90648452890953,71.4,0.23,11384.6827072018,0.00082834204154453,"05141"
0.221,5.02471270517201,5.8729019910616,176.8,0.188,8081.18902044225,0.00399109003147282,"05143"
0.236,5.13144377086452,6.31232292219254,125.3,0.221,11838.8905489765,0.00200758998536402,"05145"
0.279,5.62231485242404,6.52760774600405,234.6,0.229,11238.5023981182,0.00065402223675605,"05147"
0.266,5.83348403142017,6.6213958283716,172.3,0.218,10520.849161376,0.00039692384023815,"05149"
0.151,3.84223621456724,5.33205677379321,426.3,0.146,5217.15395602183,0.00715171337825345,"06001"
0.154,4.40774144061304,5.857324839422,NA,0.177,27650.2887527376,0.00323886639676113,"06003"
0.163,4.39349649467233,5.70260421452244,490.2,0.173,7567.08898583743,0.00271455924767929,"06005"
0.182,4.89445462932192,6.17781891737727,143.8,0.186,9315.63160833255,0.00818015544215564,"06007"
0.174,4.76688521332105,6.01150330849499,131.9,0.189,7926.26374772087,0.00222842430929664,"06009"
0.24,5.23372102276963,5.98308930687445,122.6,0.188,6184.08738162929,0.00205320071177625,"06011"
0.155,3.94613039244428,5.14788089145514,283.2,0.153,5577.08581738549,0.00385134314838907,"06013"
0.244,5.12623296917731,6.18206990652042,207.3,0.209,11532.7646640865,0.00473309608540925,"06015"
0.132,3.7839470726521,5.22206069173158,135,0.166,6326.71380529941,0.00397472324436785,"06017"
0.243,5.03751105914103,5.99539521868522,284.1,0.186,9008.14375001163,0.00441701255252417,"06019"
0.233,5.16467253568195,6.146318222593,86.6,0.197,9722.94276256774,0.00159694497483076,"06021"
0.196,4.89969750610998,6.32165214230558,205.9,0.206,9668.41046889368,0.00556085393588145,"06023"
0.29,5.70029002537832,5.89263363541069,288.7,0.181,8703.30353560694,0.00177925060188712,"06025"
0.168,4.57875980719028,5.7494464163027,168.1,0.174,10430.9054318033,0.0047970479704797,"06027"
0.255,5.03150844528942,5.72832017936313,308.3,0.185,10697.1872054936,0.00228730713445857,"06029"
0.262,5.18484872796208,5.99414408037236,159,0.19,8187.5172369196,0.00224187483299988,"06031"
0.192,5.00918855694381,6.1170745601259,251.7,0.19,12236.8773581071,0.00375185411395166,"06033"
0.213,5.07497738248471,6.16400016774569,127.1,0.192,11257.5849666264,0.00292529931541964,"06035"
0.19,4.61083251725761,5.56947068349455,611.5,0.163,6746.44260924517,0.00417588038671987,"06037"
0.249,5.59144205324145,6.24363762222499,200.8,0.193,8647.51229222524,0.00175647700897058,"06039"
0.106,3.80477243553138,5.03329744982377,340,0.139,4149.41243936194,0.00848558449843585,"06041"
0.199,4.6375876298871,5.97685926977463,154.2,0.2,9759.32882036593,0.00320755817344142,"06043"
0.196,4.83914608705997,6.23753462284884,216.5,0.185,10092.9242695632,0.00683423689830787,"06045"
0.29,5.37765623601114,5.91901114473186,179.5,0.2,8849.46188552241,0.00233190556480638,"06047"
0.184,4.93705958231503,6.15823572024455,NA,0.192,13302.4217518212,0.00357926336450756,"06049"
0.164,4.3092847695134,5.66818061706514,78.6,0.171,4738.85101651351,0.00226466369744093,"06051"
0.228,4.86774695883044,5.81285274992909,214.7,0.181,6114.45687957976,0.00431715543360201,"06053"
0.185,4.12554342292622,5.30784318177664,242.9,0.172,5209.67390610456,0.00640202045416168,"06055"
0.17,4.19696309657925,5.7061673508457,147.1,0.193,7472.18090524764,0.00968237556408051,"06057"
0.162,3.98871616619291,4.88618250846772,271.6,0.155,5325.41856697256,0.0035305158865323,"06059"
0.136,4.02927179710003,5.53271640105596,114.1,0.168,5085.95064320985,0.00355323793354354,"06061"
0.154,4.4888151390605,5.99718186892681,163.9,0.184,8791.76065867009,0.00281195079086116,"06063"
0.182,4.72914087006614,5.18614827772431,512.1,0.166,7817.29460573104,0.00251912324911172,"06065"
0.19,4.3810038219138,5.75067786473138,351.4,0.177,7615.50627984051,0.00417767780777018,"06067"
0.184,4.55624024756227,5.49843975177095,114.6,0.165,6316.4220109709,0.00110982797666362,"06069"
0.218,4.79992342429177,5.34429824495613,290.4,0.174,9377.70994785647,0.00274705997603328,"06071"
0.164,4.21250069234753,5.17577585915002,493.1,0.16,5726.72433104609,0.0046681916904362,"06073"
0.127,3.56538540228686,4.98389569519262,1589.3,0.138,5634.04091487735,0.0106010664854435,"06075"
0.203,4.75935538090936,5.33439573724094,246.9,0.168,8729.51077088642,0.00273748749065758,"06077"
0.151,4.15897857896853,5.61416179926202,160.1,0.174,6205.59114632033,0.00687599546544521,"06079"
0.132,3.55873202378635,4.59998109642906,266.8,0.142,4006.43554101343,0.00443698772713474,"06081"
