"FIPS","State","County","Deaths","Years_of_Potential_Life_Lost_Rate","Average_Number_of_Mentally_Unhealthy_Days","Primary_Care_Physicians_Rate","Mental_Health_Provider_Rate","Dentist_Rate","Preventable_Hospitalization_Rate","Pct_with_Annual_Mammogram","Pct_Uninsured","Pct_Households_with_Broadband_Access","Num_Completed_High_School"
"51167","Virginia","Russell",649,12093.477958,6.4666472424,35.22505,109.90305,11.78875,3916,45,8.18422281,68.309455587,15862
"51169","Virginia","Scott",522,11805.834611,6.804899359,32.68126,153.96818,13.96908,3912,48,7.193495935,73.891185342,13566
"51171","Virginia","Shenandoah",744,8072.1919044,6.1101641521,33.51806,81.80773,33.35705,3062,42,8.5936826373,84.776740524,28304
"51173","Virginia","Smyth",834,14259.323978,6.3585409512,50.88713,225.90361,54.33122,3118,41,7.9165360677,79.209896249,18687
"51175","Virginia","Southampton",360,10093.206232,5.602926501,22.21482,NA,11.15325,3496,44,6.8473495417,83.388993756,11530
"51177","Virginia","Spotsylvania",1792,7823.2625742,5.5085711911,48.02472,123.67302,44.99346,3880,43,7.9869430285,94.796155121,87674
"51179","Virginia","Stafford",1463,5975.9985066,5.1372820896,26.1069,128.15243,35.50006,3618,43,5.9897025575,96.404139625,96134
"51181","Virginia","Surry",142,9577.7958865,5.838512292,15.31394,45.50281,NA,3580,61,6.5072765073,76.66061706,4428
"51183","Virginia","Sussex",271,11726.592221,5.6656829014,27.87327,18.59254,18.72659,2785,46,7.8771902621,82.267206478,6983
"51185","Virginia","Tazewell",1155,15250.072398,6.4810633237,47.58923,283.74233,45.20228,3498,40,7.9731227487,84.446116231,25252
"51187","Virginia","Warren",728,9847.2158275,6.090790502,58.64386,121.88419,36.19691,3087,36,8.6059955897,91.951553038,25879
"51191","Virginia","Washington",1169,11009.9008,5.9068596273,91.35825,244.21832,72.27844,3099,48,7.2840871108,80.812008319,36326
"51193","Virginia","Westmoreland",400,10259.164687,6.3310498398,21.35497,15.77868,10.68833,3102,46,9.8664305217,79.536679537,11924
"51195","Virginia","Wise",1029,13685.066166,6.2536917533,22.44228,150.67948,28.23184,3412,42,8.2631863464,78.477410174,20751
"51197","Virginia","Wythe",710,12204.79296,5.9672164301,42.58641,266.86593,35.57326,3237,38,7.2363886975,81.816715069,18574
"51199","Virginia","York",700,5165.6984542,4.9569324792,115.63139,139.53095,53.2653,1760,58,6.0492440605,93.477027794,45895
"51510","Virginia","Alexandria City",1225,4702.0262508,4.7603940118,80.15203,493.46132,91.94663,2100,41,8.0759105849,93.786247993,110447
"51515","Virginia","Bedford City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
