"fips","year","CDCW_crude_death_rate"
2232,2009,769.5
2232,2010,NA
2232,2011,787.7
2232,2012,NA
2232,2013,NA
2232,2014,NA
2232,2015,NA
2232,2016,NA
2232,2017,NA
2240,2009,647
2240,2010,611.8
2240,2011,462.7
2240,2012,629.9
2240,2013,687.2
2240,2014,793.5
2240,2015,672.6
2240,2016,683.5
2240,2017,696.9
2261,2009,558.4
2261,2010,591.5
2261,2011,614.1
2261,2012,452.8
2261,2013,491.7
2261,2014,822.1
2261,2015,705
2261,2016,577.2
2261,2017,495.8
2270,2009,776.5
2270,2010,858
2270,2011,691.7
2270,2012,691.5
2270,2013,915.1
2270,2014,549.3
2270,2015,739
2270,2016,670.9
2270,2017,853.5
2275,2009,NA
2275,2010,NA
2275,2011,NA
2275,2012,NA
2275,2013,NA
2275,2014,888.3
2275,2015,1007.6
2275,2016,NA
2275,2017,952
2280,2009,818.9
2280,2010,873.2
2280,2011,884.2
2280,2012,608.3
2280,2013,858.4
2280,2014,NA
2280,2015,NA
2280,2016,NA
2280,2017,NA
2282,2009,NA
2282,2010,NA
2282,2011,NA
2282,2012,NA
2282,2013,NA
2282,2014,NA
2282,2015,NA
2282,2016,NA
2282,2017,NA
2290,2009,818.9
2290,2010,751.6
2290,2011,1007.8
2290,2012,1091.9
2290,2013,1000.9
2290,2014,955.5
2290,2015,1102.5
2290,2016,995.3
2290,2017,1081.1
4001,2009,767.5
4001,2010,875.3
4001,2011,828.7
4001,2012,755.5
4001,2013,881.4
4001,2014,882.7
4001,2015,976.6
4001,2016,931.4
4001,2017,1034.8
4003,2009,868.7
4003,2010,938
4003,2011,895
4003,2012,916.1
4003,2013,982.4
4003,2014,947.8
4003,2015,1033.8
4003,2016,1071.8
4003,2017,1081.3
4005,2009,528.9
4005,2010,507.4
4005,2011,544.9
4005,2012,541.9
4005,2013,516.3
4005,2014,536
4005,2015,581.6
4005,2016,604.6
4005,2017,623
4007,2009,1200.5
4007,2010,1246.3
4007,2011,1294.6
4007,2012,1240
4007,2013,1315.7
4007,2014,1406.3
4007,2015,1527.5
4007,2016,1559.1
4007,2017,1353.2
4009,2009,708.9
4009,2010,816.8
4009,2011,659.5
4009,2012,796.5
4009,2013,739
4009,2014,745.6
4009,2015,666.4
4009,2016,742
4009,2017,822.1
4011,2009,602.2
4011,2010,651.9
4011,2011,825
4011,2012,749.8
4011,2013,508.3
4011,2014,556.4
4011,2015,713.6
4011,2016,540.9
4011,2017,687.5
4012,2009,1199.2
4012,2010,1127.4
4012,2011,1092.1
4012,2012,1277.1
4012,2013,1294
4012,2014,1304.9
4012,2015,1285.2
4012,2016,1338.8
4012,2017,1601.9
4013,2009,649.9
4013,2010,652.4
4013,2011,668.7
4013,2012,668.6
4013,2013,679.2
4013,2014,684.3
4013,2015,700.5
4013,2016,724.7
4013,2017,727.3
4015,2009,1252.9
4015,2010,1348.2
4015,2011,1356.1
4015,2012,1401.6
4015,2013,1467.8
4015,2014,1383.7
4015,2015,1509.3
4015,2016,1583.4
4015,2017,1591.7
4017,2009,750.2
4017,2010,772.5
4017,2011,846.4
4017,2012,852.5
4017,2013,899.2
4017,2014,872.3
4017,2015,851.5
4017,2016,923.4
4017,2017,986.6
4019,2009,843.8
4019,2010,839.6
4019,2011,854.8
4019,2012,885.9
4019,2013,866.5
4019,2014,870.9
4019,2015,915.6
4019,2016,935.6
4019,2017,937.1
4021,2009,577.1
4021,2010,605.2
4021,2011,628
4021,2012,639.2
4021,2013,634.1
4021,2014,659.1
4021,2015,734.2
4021,2016,722.3
4021,2017,729.1
4023,2009,621.1
4023,2010,552.5
4023,2011,518.1
4023,2012,653.2
4023,2013,611.5
4023,2014,584.6
4023,2015,637.1
4023,2016,658.9
4023,2017,642.7
4025,2009,1097.7
4025,2010,1161.9
4025,2011,1194.5
4025,2012,1245.3
4025,2013,1273.2
4025,2014,1273.1
4025,2015,1316.5
4025,2016,1315.8
4025,2017,1373.1
4027,2009,689.7
4027,2010,670.8
4027,2011,690
4027,2012,709.9
4027,2013,663
4027,2014,704.1
4027,2015,700.5
4027,2016,734.3
4027,2017,729.5
5001,2009,1181.1
5001,2010,1409.1
5001,2011,1333.9
5001,2012,1281
5001,2013,1214.3
5001,2014,1231.6
5001,2015,1269.5
5001,2016,1372.6
5001,2017,1358
5003,2009,1117.7
5003,2010,1166.9
5003,2011,1092.6
5003,2012,1161.5
5003,2013,1207.5
5003,2014,1274.6
5003,2015,1324.5
5003,2016,1278.5
5003,2017,1301.6
5005,2009,1600.1
5005,2010,1568.2
5005,2011,1639.5
5005,2012,1607.9
5005,2013,1677.4
5005,2014,1566.4
5005,2015,1688.1
5005,2016,1704.7
5005,2017,1600.8
5007,2009,681.4
5007,2010,673.6
5007,2011,710.6
5007,2012,713
5007,2013,682.3
5007,2014,722.6
5007,2015,735.8
5007,2016,680.6
5007,2017,687.9
5009,2009,1164.4
5009,2010,1078.5
5009,2011,1136.3
5009,2012,1066.3
5009,2013,1179.3
5009,2014,1153.3
5009,2015,1265.4
5009,2016,1235.8
5009,2017,1169
5011,2009,1326.1
5011,2010,1355.6
5011,2011,1384.8
5011,2012,1193.3
5011,2013,1653.5
5011,2014,1219.9
5011,2015,1271
5011,2016,1309.6
5011,2017,1592.4
5013,2009,1162.1
5013,2010,1099.1
5013,2011,972
