"GEOID","state","county","year","inf_mort_rate_5yr_lt1_avg","hosp_per100k","lth_psych_per100k","hosp_adm_per100k","hosp_beds_per1000","md_nf_fed_per100k","do_nf_fed_activ_per100k","stgh_ed_vists_per100k","stnglth_ed_vists_per100k","lo_birth_wgt_pct","suicide_deth_3yr_per100k","stgh_obstetrc_care_per100k_fem","do_nf_obgyn_gen_per100k_fem","md_nf_obgyn_gen_per100k_fem","comn_mentl_hlth_ctr_per100k","fedly_qualfd_hlth_ctr_per100k"
"12105","FL","Polk","2022",7.6,0.634998044206024,0,9636.85731847946,2.10311352241035,157.09851613657,11.3029651868672,41954.320780692,0,9.09410936399906,13.3349589283265,0.753072535946662,0.502048357297775,10.5430155032533,0,1.77799452377687
"12107","FL","Putnam","2022",NA,1.33813276953339,0,6519.38285316669,1.32475144183806,119.093816488472,6.69066384766697,47004.5897953995,0,10.7317073170732,26.7626553906679,2.65759540767514,0,7.97278622302541,0,5.35253107813357
"12109","FL","St. Johns","2022",4.7,0.325901688496648,0,3867.80123907822,0.664839444533162,409.658422440287,32.5901688496648,12233.6975827872,0,7.33788395904437,12.7101658513693,0,1.28191980309712,17.9468772433597,0,0.651803376993296
"12111","FL","St. Lucie","2022",5.2,0.836344172353807,0,8983.45153664303,1.67268834470761,145.245104598778,18.1207904009992,21696.998081984,0,9.33886747702342,16.1693206655069,0,0.549148819330038,9.88467874794069,0,2.50903251706142
"12113","FL","Santa Rosa","2022",6.2,1.51310347610305,0,3974.92283172272,0.776726451066234,135.170577198539,24.7140234430165,28819.0731736841,0,8.00405268490375,21.6878164908104,1.03448989303375,2.06897978606749,8.27591914426996,0,1.51310347610305
"12115","FL","Sarasota","2022",4.5,1.29789783813483,0,14069.2125653816,3.0327546151084,480.6548327226,40.4511492885357,38950.7793876518,0,7.51932536893886,19.6847838783783,0.831199920204808,2.07799980051202,19.9487980849154,0,2.37947936991386
"12117","FL","Seminole","2022",5.5,0.626603059493872,0,3035.26522018832,0.73103690274285,263.382152673924,23.1843132012733,13664.7506537559,0,8.05884936319719,14.4118703683591,0,1.22364573008822,14.2758668510293,0,0.835470745991829
"12119","FL","Sumter","2022",NA,0.689797889218459,0,266.951783127544,0.275919155687384,227.633303442091,15.1755535628061,0,0,8.46456692913386,14.4857556735876,0,0,8.23881580754126,0,0.689797889218459
"12121","FL","Suwannee","2022",NA,0,0,0,0,52.8506309044064,0,0,0,8.54503464203233,22.0210962101693,0,0,0,0,4.40421924203387
"12123","FL","Taylor","2022",NA,4.69858572569657,0,1757.27106141052,1.03368885965324,79.8759573368416,4.69858572569657,53502.7956585068,0,9.95260663507109,NA,0,0,0,0,4.69858572569657
"12125","FL","Union","2022",NA,12.9366106080207,0,2690.81500646831,4.20439844760673,122.897800776197,0,17108.6675291074,0,7.58620689655172,NA,0,0,0,0,19.404915912031
"12127","FL","Volusia","2022",5.6,1.20858022900869,0,11925.9243912209,2.75901600850841,244.305860578185,21.0638268484371,48299.5276177848,361.192834155168,8.94973436861463,19.5099379825688,1.01637033824805,0.677580225498699,8.80854293148309,0,1.20858022900869
"12129","FL","Wakulla","2022",NA,0,0,0,0,76.752515776906,5.68537153903008,0,0,7.31707317073171,NA,0,0,6.12032560132199,0,2.84268576951504
"12131","FL","Walton","2022",NA,2.40084509747431,0,7239.74839143378,1.63257466628253,196.869297992894,24.0084509747431,43947.4695092673,0,7.88888888888889,18.0063382310573,2.43332684446175,4.8666536889235,12.1666342223087,0,3.60126764621147
"12133","FL","Washington","2022",NA,3.93483906508224,0,3214.76351617219,2.32155504839852,82.631620366727,3.93483906508224,54804.4384984654,0,10.2362204724409,NA,0,0,0,0,3.93483906508224
"13001","GA","Appling","2022",NA,5.42652485348383,0,4482.30952897764,5.86064684176254,81.3978728022574,5.42652485348383,38219.0145430866,0,12.7450980392157,NA,0,0,0,0,16.2795745604515
"13003","GA","Atkinson","2022",NA,0,0,0,0,0,0,0,0,7.35294117647059,NA,0,0,0,0,12.2204570450935
"13005","GA","Bacon","2022",NA,8.93575194352605,0,23331.2483245465,10.0973996961844,125.100527209365,8.93575194352605,93289.2502904119,0,9.28571428571429,NA,17.5839634253561,0,17.5839634253561,0,8.93575194352605
"13007","GA","Baker","2022",NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,35.8680057388809
"13009","GA","Baldwin","2022",NA,4.58347656697605,2.29173828348803,6808.75444024292,6.76062793628968,210.839922080898,4.58347656697605,54871.0897215538,0,11.0824742268041,NA,0,0,18.5778644744787,0,9.1669531339521
"13011","GA","Banks","2022",NA,0,0,0,0,15.5215231788079,0,0,0,9.09090909090909,NA,0,0,0,0,15.5215231788079
"13013","GA","Barrow","2022",NA,1.11983336879472,0,1619.27905127717,0.380743345390206,77.2685024468359,4.47933347517889,25437.0149721721,0,8.62068965517241,17.9173339007156,0,2.22172850477672,0,0,4.47933347517889
"13015","GA","Bartow","2022",NA,0.886399092327329,0,4261.8068359098,0.709119273861864,111.686285633244,7.97759183094597,21740.7105375124,0,7.1969696969697,15.9551836618919,0,1.75978882534096,5.27936647602288,0,0.886399092327329
"13017","GA","Ben Hill","2022",NA,5.85857402308278,0,5647.6653582518,3.39797293338801,64.4443142539106,17.5757220692483,25232.8783174175,0,11.7073170731707,NA,0,0,11.063170704724,0,5.85857402308278
"13019","GA","Berrien","2022",NA,5.49028220050511,0,1553.74986274294,2.14121005819699,38.4319754035357,5.49028220050511,10008.7844515208,0,11.3636363636364,NA,0,0,0,0,5.49028220050511
"13021","GA","Bibb","2022",8.1,3.20108580830618,0,27898.10303655,6.90794317432473,718.323655383906,24.9684693047882,86657.2341338182,2363.68176085328,13.7254901960784,15.3652118798697,1.2131947056183,2.42638941123661,64.2993193977701,0,4.48152013162865
"13023","GA","Bleckley","2022",NA,8.15860324712409,0,3524.51660275761,2.03965081178102,65.2688259769927,8.15860324712409,23423.3499224933,0,11.1111111111111,NA,0,0,0,0,8.15860324712409
"13025","GA","Brantley","2022",NA,0,0,0,0,10.999285046472,5.49964252323599,0,0,11.6751269035533,NA,0,0,0,0,5.49964252323599
"13027","GA","Brooks","2022",NA,6.15271026887344,0,1433.58149264751,1.53817756721836,43.0689718821141,6.15271026887344,51375.1307450932,0,13.3333333333333,NA,0,0,0,6.15271026887344,12.3054205377469
"13029","GA","Bryan","2022",NA,0,0,0,0,145.152928978745,18.6625194401244,0,0,8.10810810810811,24.8833592534992,0,0,28.8647890808626,0,2.07361327112494
"13031","GA","Bulloch","2022",NA,2.40792689533946,0,10549.1277284822,2.27549091609579,169.758846121432,4.81585379067891,66722.4503064087,1268.97747384389,10.7438016528926,NA,0,2.35876872272674,23.5876872272674,0,1.20396344766973
"13033","GA","Burke","2022",NA,4.10037723470559,0,2082.99163523044,1.64015089388224,57.4052812858783,4.10037723470559,11841.8894538298,0,10.6719367588933,NA,0,0,0,0,16.4015089388224
"13035","GA","Butts","2022",NA,3.75248602198957,0,998.161281849225,0.900596645277496,48.7823182858644,0,61600.8105369808,0,11.3013698630137,NA,0,0,0,0,0
"13037","GA","Calhoun","2022",NA,0,0,0,0,73.1395136222344,0,0,0,NA,NA,0,0,0,0,18.2848784055586
"13039","GA","Camden","2022",NA,1.75398593303282,0,3697.40234683318,0.701594373213127,87.6992966516409,5.26195779909845,43735.6392401733,0,9.39226519337017,19.293845263361,3.62989582198991,3.62989582198991,14.5195832879596,0,1.75398593303282
